market_segment,total_created_revenue,total_won_revenue,raw_win_rate_pct,constrained_win_rate_pct,num_mature_deals,mature_deals_won,constraint_applied,cutoff_date_used
Global Market,81905780,10521103,0.12845373061583687,0.12845373061583687,201,26,No,2026-01-02
Large Market,33794082,4193976,0.12410385936803965,0.12410385936803965,161,20,No,2026-01-02
Mid-Market,15759476,2555114,0.16213191352301307,0.16213191352301307,187,31,No,2026-01-02
Small Market,4355442,428869,0.09846738861406029,0.09846738861406029,159,18,No,2026-01-02
