date_created,date_closed,stage,market_segment,Sum of net_revenue,Count of deal_id
7/3/2023,1/5/2024,Closed Lost,Mid Market,133489.44,1
7/6/2023,1/5/2024,Closed Lost,Mid Market,74545.44,1
7/6/2023,3/1/2024,Closed Lost,Large Market,330584.76,1
7/10/2023,1/5/2024,Closed Lost,Mid Market,16750.8,1
7/10/2023,1/5/2024,Closed Won,Mid Market,10801.92,1
7/10/2023,2/9/2024,Closed Lost,Mid Market,20064,1
7/10/2023,5/10/2024,Closed Lost,Mid Market,20359.68,1
7/11/2023,1/5/2024,Closed Lost,Mid Market,4231.2,1
7/11/2023,3/8/2024,Closed Lost,Mid Market,48600,1
7/13/2023,2/2/2024,Closed Lost,Indirect,186372,1
7/14/2023,8/9/2024,Closed Won,Large Market,60441.6,1
7/18/2023,1/5/2024,Closed Won,Mid Market,10657.98,1
7/18/2023,1/12/2024,Closed Lost,Mid Market,8676,1
7/18/2023,1/26/2024,Closed Lost,Indirect,7200,1
7/18/2023,2/9/2024,Closed Lost,Large Market,487200,1
7/18/2023,2/23/2024,Closed Lost,Mid Market,13219.2,1
7/20/2023,1/5/2024,Closed Lost,Mid Market,7548.12,1
7/24/2023,6/14/2024,Closed Lost,Large Market,1845376.32,1
7/24/2023,1/10/2025,Closed Lost,Indirect,1350,1
7/25/2023,1/5/2024,Closed Lost,Mid Market,95909.52,3
7/25/2023,1/5/2024,Closed Won,Mid Market,37031.76,2
7/25/2023,1/26/2024,Closed Won,Indirect,9890.64,1
7/28/2023,1/5/2024,Closed Lost,Mid Market,57288,1
7/31/2023,1/5/2024,Closed Won,Mid Market,9592.2,1
7/31/2023,2/9/2024,Closed Lost,Large Market,55440,1
8/1/2023,6/7/2024,Closed Lost,Mid Market,42600,1
8/2/2023,1/5/2024,Closed Lost,Mid Market,5260,1
8/3/2023,1/19/2024,Closed Lost,Mid Market,19141.32,1
8/3/2023,2/9/2024,Closed Lost,Mid Market,20192.4,1
8/4/2023,1/5/2024,Closed Lost,Mid Market,56026.08,1
8/9/2023,1/5/2024,Closed Won,Indirect,54582,1
8/10/2023,3/15/2024,Closed Lost,Mid Market,9198,1
8/11/2023,1/5/2024,Closed Lost,Mid Market,1256,1
8/11/2023,1/26/2024,Closed Lost,Indirect,5532,1
8/15/2023,1/5/2024,Closed Lost,Mid Market,33120,1
8/15/2023,1/19/2024,Closed Lost,Mid Market,44304,1
8/16/2023,1/5/2024,Closed Lost,Mid Market,2148,1
8/16/2023,1/5/2024,Closed Won,Mid Market,5580,1
8/16/2023,11/22/2024,Closed Won,Indirect,3,1
8/18/2023,1/5/2024,Closed Lost,Mid Market,62092.8,3
8/22/2023,1/5/2024,Closed Lost,Mid Market,13500,1
8/23/2023,1/5/2024,Closed Lost,Mid Market,50484,2
8/23/2023,2/9/2024,Closed Lost,Mid Market,12672,1
8/28/2023,1/5/2024,Closed Won,Indirect,115500,1
8/28/2023,1/26/2024,Closed Lost,Indirect,18000,1
8/29/2023,1/5/2024,Closed Lost,Mid Market,30602.88,1
8/30/2023,1/5/2024,Closed Lost,Mid Market,10560,1
8/30/2023,1/5/2024,Closed Won,Mid Market,59754.96,1
8/30/2023,2/9/2024,Closed Lost,Mid Market,6816,1
8/30/2023,6/7/2024,Closed Won,Mid Market,9498.36,1
8/31/2023,1/5/2024,Closed Lost,Large Market,160932,1
8/31/2023,4/5/2024,Closed Won,Mid Market,25809.6,1
8/31/2023,4/12/2024,Closed Lost,Mid Market,47268,1
9/1/2023,1/5/2024,Closed Lost,Mid Market,134200,2
9/1/2023,1/26/2024,Closed Lost,Mid Market,10000,1
9/5/2023,1/5/2024,Closed Won,Mid Market,7321.92,1
9/5/2023,2/2/2024,Closed Lost,Mid Market,18416.64,1
9/5/2023,3/7/2025,Closed Lost,Large Market,405000,1
9/7/2023,1/5/2024,Closed Lost,Mid Market,64339.36,2
9/7/2023,1/26/2024,Closed Won,Indirect,18425.88,1
9/7/2023,7/12/2024,Closed Lost,Large Market,382706.4,1
9/11/2023,1/5/2024,Closed Lost,Mid Market,26880,1
9/12/2023,1/12/2024,Closed Lost,Mid Market,26640,1
9/13/2023,1/5/2024,Closed Lost,Mid Market,5260,1
9/13/2023,1/5/2024,Closed Won,Indirect,39977,1
9/13/2023,1/26/2024,Closed Lost,Indirect,20839.68,1
9/13/2023,11/22/2024,Closed Won,Indirect,2.16,1
9/14/2023,1/5/2024,Closed Lost,Mid Market,939496.96,2
9/14/2023,1/5/2024,Verbal,Mid Market,2828.196,1
9/14/2023,1/12/2024,Closed Lost,Large Market,1660800,1
9/14/2023,3/8/2024,Closed Lost,Mid Market,126000,1
9/14/2023,10/11/2024,Closed Lost,Indirect,2580,1
9/15/2023,1/5/2024,Closed Won,Mid Market,14154.72,2
9/15/2023,4/12/2024,Closed Lost,Mid Market,52752,1
9/19/2023,1/5/2024,Closed Lost,Large Market,132000,1
9/19/2023,4/12/2024,Closed Lost,Mid Market,7095.6,1
9/20/2023,1/5/2024,Closed Lost,Mid Market,41257.68,1
9/20/2023,3/15/2024,Closed Won,Large Market,1016808.84,1
9/21/2023,1/5/2024,Closed Lost,Mid Market,12628.8,1
9/21/2023,1/5/2024,Closed Won,Mid Market,18805.2,1
9/21/2023,1/26/2024,Closed Lost,Mid Market,8672.4,1
9/22/2023,1/19/2024,Closed Won,Mid Market,23438.52,1
9/25/2023,1/5/2024,Closed Won,Mid Market,30319.296,2
9/26/2023,2/2/2024,Closed Lost,Mid Market,6625.44,1
9/26/2023,3/29/2024,Closed Lost,Large Market,340800,1
9/26/2023,1/31/2025,Closed Lost,Mid Market,7425.6,1
9/27/2023,1/5/2024,Closed Won,Mid Market,2874,1
9/27/2023,4/12/2024,Closed Lost,Large Market,33267.6,1
9/27/2023,11/14/2025,Closed Lost,Large Market,463200,1
9/28/2023,1/5/2024,Closed Lost,Mid Market,19216.8,1
9/29/2023,1/5/2024,Closed Lost,Indirect,9742.8,1
9/29/2023,1/5/2024,Closed Lost,Mid Market,7488,1
9/29/2023,2/16/2024,Closed Lost,Mid Market,18632.52,2
10/2/2023,1/5/2024,Closed Lost,Indirect,26157,2
10/2/2023,2/9/2024,Closed Lost,Large Market,259318.2,1
10/3/2023,2/9/2024,Closed Won,Mid Market,37980.96,1
10/3/2023,11/15/2024,Closed Lost,Mid Market,21420,1
10/3/2023,12/12/2025,Closed Lost,Indirect,1080,1
10/4/2023,1/5/2024,Closed Won,Indirect,2220,1
10/4/2023,1/5/2024,Closed Won,Mid Market,2359.8,1
10/4/2023,1/26/2024,Closed Lost,Indirect,59200,2
10/4/2023,2/16/2024,Closed Lost,Indirect,486000,1
10/4/2023,2/16/2024,Closed Won,Mid Market,18226.56,1
10/5/2023,1/5/2024,Closed Lost,Mid Market,4010.04,1
10/5/2023,1/26/2024,Closed Won,Indirect,1830,1
10/6/2023,1/5/2024,Closed Lost,Mid Market,50080.8,1
10/6/2023,1/12/2024,Closed Lost,Large Market,1152000,1
10/6/2023,1/19/2024,Closed Lost,Indirect,114240,1
10/6/2023,6/14/2024,Closed Lost,Indirect,6000000,1
10/9/2023,2/9/2024,Closed Lost,Mid Market,139032.48,1
10/10/2023,1/5/2024,Closed Lost,Mid Market,9723.6,1
10/10/2023,1/26/2024,Closed Lost,Mid Market,5260,1
10/10/2023,2/9/2024,Closed Lost,Mid Market,1476,1
10/10/2023,3/1/2024,Closed Lost,Mid Market,14320.8,1
10/10/2023,4/12/2024,Closed Won,Mid Market,39586.32,1
10/10/2023,9/13/2024,Closed Won,Mid Market,12096,1
10/12/2023,1/5/2024,Closed Won,Mid Market,15261.96,2
10/12/2023,2/9/2024,Closed Won,Mid Market,5840,1
10/12/2023,6/28/2024,Closed Won,Mid Market,17001.6,1
10/13/2023,1/5/2024,Closed Lost,Mid Market,5260,1
10/13/2023,1/5/2024,Closed Won,Indirect,2592,1
10/16/2023,1/5/2024,Closed Lost,Mid Market,5260,1
10/17/2023,1/5/2024,Closed Won,Mid Market,27884.4,1
10/17/2023,2/16/2024,Closed Lost,Mid Market,2850.39,1
10/17/2023,5/17/2024,Closed Lost,Large Market,614556.96,1
10/17/2023,9/27/2024,Closed Lost,Mid Market,21120,1
10/18/2023,5/10/2024,Closed Won,Mid Market,3349.836,1
10/18/2023,8/16/2024,Closed Won,Large Market,389807.04,1
10/19/2023,1/26/2024,Closed Lost,Mid Market,5398.47,1
10/20/2023,1/5/2024,Closed Lost,Mid Market,5260,1
10/20/2023,3/15/2024,Closed Lost,Mid Market,5580,1
10/23/2023,1/5/2024,Closed Lost,Mid Market,5209.2,1
10/23/2023,10/11/2024,Closed Lost,Indirect,2580,1
10/24/2023,1/5/2024,Closed Lost,Mid Market,27517.9,3
10/24/2023,5/3/2024,Verbal,Large Market,304412.16,1
10/24/2023,5/24/2024,Closed Lost,Large Market,529920,1
10/24/2023,4/25/2025,Closed Lost,Large Market,1009810.4,1
10/25/2023,1/5/2024,Closed Lost,Mid Market,5814,1
10/25/2023,1/26/2024,Closed Lost,Mid Market,8748,1
10/25/2023,3/29/2024,Closed Lost,Mid Market,9618.48,1
10/25/2023,4/5/2024,Closed Lost,Indirect,16800,1
10/26/2023,1/5/2024,Closed Lost,Mid Market,10846,2
10/27/2023,1/5/2024,Closed Lost,Mid Market,6259.68,1
10/27/2023,2/9/2024,Closed Won,Mid Market,21705.72,1
10/30/2023,1/5/2024,Closed Lost,Mid Market,5260,1
10/30/2023,1/5/2024,Closed Won,Mid Market,6192,1
10/31/2023,1/12/2024,Closed Lost,Mid Market,82759.68,1
10/31/2023,2/23/2024,Closed Won,Large Market,412518.6,1
10/31/2023,3/1/2024,Closed Lost,Mid Market,27000,1
11/1/2023,1/5/2024,Closed Lost,Mid Market,30333.96,2
11/1/2023,1/5/2024,Closed Won,Mid Market,4734,1
11/1/2023,1/12/2024,Closed Lost,Mid Market,12009.6,1
11/2/2023,1/5/2024,Closed Lost,Mid Market,15198,2
11/2/2023,3/22/2024,Closed Lost,Large Market,1368000,1
11/3/2023,1/5/2024,Closed Lost,Mid Market,5260,1
11/3/2023,2/9/2024,Closed Lost,Mid Market,5493.312,1
11/6/2023,1/5/2024,Closed Lost,Mid Market,9656.68,2
11/6/2023,3/29/2024,Closed Lost,Mid Market,58414.32,1
11/7/2023,1/5/2024,Closed Lost,Mid Market,36208.72,2
11/7/2023,2/2/2024,Closed Lost,Mid Market,80286.72,1
11/7/2023,2/16/2024,Closed Lost,Mid Market,8825.04,1
11/7/2023,3/22/2024,Closed Lost,Mid Market,43056,1
11/8/2023,1/5/2024,Closed Won,Mid Market,3928.32,1
11/8/2023,2/23/2024,Closed Lost,Mid Market,7776,1
11/8/2023,4/12/2024,Closed Lost,Mid Market,64720.56,1
11/9/2023,1/5/2024,Closed Lost,Mid Market,5260,1
11/9/2023,5/3/2024,Closed Won,Mid Market,25951.2,1
11/10/2023,1/5/2024,Closed Lost,Mid Market,7594.92,1
11/13/2023,1/5/2024,Closed Lost,Mid Market,54208.96,3
11/14/2023,1/5/2024,Closed Lost,Mid Market,7292.452,2
11/14/2023,1/5/2024,Closed Won,Mid Market,5260,1
11/14/2023,1/12/2024,Closed Lost,Mid Market,5260,1
11/14/2023,1/19/2024,Closed Lost,Mid Market,24597.84,2
11/14/2023,2/16/2024,Closed Lost,Mid Market,11616,1
11/15/2023,1/5/2024,Closed Lost,Mid Market,3129.12,1
11/15/2023,1/26/2024,Closed Won,Mid Market,12050.4,1
11/15/2023,2/2/2024,Closed Won,Large Market,103950,1
11/15/2023,2/16/2024,Closed Lost,Mid Market,76647.6,1
11/15/2023,7/26/2024,Closed Won,SMB,4575.24,1
11/15/2023,11/1/2024,Closed Lost,Mid Market,24837.96,1
11/16/2023,1/5/2024,Closed Won,Indirect,177828,1
11/16/2023,1/5/2024,Closed Won,Mid Market,5580,1
11/16/2023,2/2/2024,Closed Lost,Mid Market,6825.12,1
11/16/2023,2/9/2024,Closed Lost,Mid Market,23081.52,1
11/16/2023,3/1/2024,Closed Lost,Large Market,1285840.08,1
11/16/2023,3/29/2024,Closed Lost,SMB,5840,1
11/17/2023,1/5/2024,Closed Lost,Mid Market,2344.068,1
11/17/2023,1/19/2024,Closed Lost,Mid Market,1285.92,1
11/19/2023,1/5/2024,Closed Lost,Indirect,67500,1
11/19/2023,2/23/2024,Closed Lost,Indirect,46440,1
11/19/2023,12/13/2024,Closed Lost,Indirect,400000,1
11/20/2023,1/5/2024,Closed Lost,Mid Market,0,1
11/20/2023,1/12/2024,Closed Lost,Mid Market,10741.2,2
11/20/2023,11/1/2024,Closed Lost,Large Market,375601.2,1
11/20/2023,11/22/2024,Closed Lost,Mid Market,6036.12,1
11/21/2023,1/5/2024,Closed Lost,Indirect,3600,1
11/21/2023,10/4/2024,Closed Won,Indirect,1380,1
11/21/2023,12/13/2024,Closed Lost,Indirect,28050,1
11/22/2023,1/26/2024,Closed Lost,Mid Market,6038.4,1
11/22/2023,5/3/2024,Closed Lost,Mid Market,52711.92,1
11/27/2023,1/5/2024,Closed Lost,Mid Market,1098,1
11/27/2023,1/5/2024,Closed Lost,SMB,6900,1
11/27/2023,1/5/2024,Closed Won,Indirect,1380,1
11/27/2023,3/1/2024,Closed Lost,Mid Market,5870.76,1
11/27/2023,3/1/2024,Closed Lost,SMB,5260,1
11/28/2023,1/26/2024,Closed Lost,Mid Market,130163.52,1
11/28/2023,2/23/2024,Closed Lost,Mid Market,9604.728,1
11/28/2023,3/1/2024,Closed Lost,SMB,2268,1
11/28/2023,8/9/2024,Closed Won,SMB,6900,1
11/28/2023,11/29/2024,Closed Lost,Mid Market,7227,1
11/28/2023,12/13/2024,Closed Lost,Indirect,36864,1
11/29/2023,1/5/2024,Closed Lost,Mid Market,7948.8,1
11/29/2023,1/5/2024,Closed Lost,SMB,5260,1
11/29/2023,1/5/2024,Closed Won,Indirect,57600,1
11/29/2023,3/8/2024,Closed Lost,Large Market,146508,1
11/29/2023,4/26/2024,Closed Lost,SMB,5256,1
11/30/2023,2/9/2024,Closed Lost,Mid Market,139620,1
11/30/2023,4/19/2024,Closed Lost,Large Market,499200,1
11/30/2023,4/26/2024,Closed Lost,SMB,1856,1
12/1/2023,2/9/2024,Closed Won,Mid Market,13932,1
12/1/2023,2/16/2024,Closed Lost,Mid Market,12101.4,1
12/1/2023,3/1/2024,Closed Lost,SMB,5260,1
12/1/2023,3/29/2024,Closed Lost,SMB,5260,1
12/1/2023,5/10/2024,Closed Lost,SMB,5260,1
12/4/2023,2/2/2024,Closed Lost,Mid Market,7636.536,1
12/4/2023,3/1/2024,Closed Lost,Mid Market,52668,1
12/4/2023,3/22/2024,Closed Lost,Mid Market,11573.76,1
12/4/2023,5/10/2024,Closed Lost,SMB,5260,1
12/4/2023,5/31/2024,Closed Lost,Mid Market,22238.04,1
12/5/2023,1/5/2024,Closed Won,Mid Market,26100,1
12/5/2023,1/5/2024,Verbal,Mid Market,15552,1
12/5/2023,3/1/2024,Closed Lost,SMB,5260,1
12/5/2023,3/29/2024,Closed Won,SMB,3003.12,1
12/5/2023,5/10/2024,Closed Lost,Indirect,42750,1
12/5/2023,5/31/2024,Closed Won,Mid Market,10404,1
12/5/2023,7/12/2024,Closed Lost,Indirect,10440,1
12/5/2023,8/23/2024,Closed Lost,Mid Market,24480,1
12/5/2023,3/21/2025,Closed Lost,Indirect,282000,2
12/6/2023,3/1/2024,Closed Lost,SMB,5209.2,1
12/6/2023,6/7/2024,Closed Lost,Indirect,2310,1
12/6/2023,12/13/2024,Closed Lost,Indirect,6000,1
12/7/2023,1/5/2024,Closed Lost,Mid Market,7884,1
12/7/2023,5/10/2024,Closed Lost,SMB,5260,1
12/7/2023,9/20/2024,Closed Lost,SMB,5260,1
12/8/2023,1/5/2024,Closed Lost,Mid Market,14784,1
12/8/2023,1/5/2024,Closed Won,Indirect,948,1
12/8/2023,1/5/2024,Closed Won,Mid Market,2210.76,1
12/8/2023,2/9/2024,Closed Lost,Mid Market,17952,1
12/8/2023,4/5/2024,Closed Lost,Mid Market,85587.84,1
12/8/2023,6/14/2024,Closed Lost,Mid Market,3086.112,1
12/8/2023,9/20/2024,Closed Lost,SMB,5260,1
12/11/2023,4/26/2024,Closed Lost,SMB,5260,1
12/12/2023,2/23/2024,Closed Lost,Mid Market,117382.8,2
12/12/2023,3/29/2024,Closed Lost,SMB,8748,1
12/12/2023,5/3/2024,Closed Lost,Large Market,274340.88,1
12/12/2023,5/10/2024,Closed Lost,SMB,20512.84,3
12/12/2023,10/11/2024,Closed Lost,Indirect,1083,1
12/12/2023,12/5/2025,Closed Lost,Mid Market,1620,1
12/13/2023,1/12/2024,Closed Lost,Mid Market,5260,1
12/13/2023,1/26/2024,Closed Lost,Mid Market,17729.28,1
12/13/2023,2/2/2024,Closed Lost,Mid Market,2066.4,1
12/13/2023,2/2/2024,Closed Won,Mid Market,17310.72,1
12/13/2023,3/1/2024,Closed Lost,SMB,7238.4,1
12/13/2023,3/15/2024,Closed Won,Mid Market,24738,1
12/13/2023,3/22/2024,Closed Lost,Mid Market,6044.4,1
12/13/2023,4/26/2024,Closed Lost,SMB,7802.6,2
12/13/2023,11/22/2024,Closed Won,Indirect,3,1
12/14/2023,1/5/2024,Closed Lost,Mid Market,50132.88,1
12/14/2023,1/19/2024,Closed Lost,Mid Market,41066.4,1
12/15/2023,1/26/2024,Closed Lost,Indirect,18144,1
12/15/2023,3/15/2024,Closed Lost,Mid Market,22464,1
12/15/2023,12/6/2024,Verbal,Indirect,30600,1
12/18/2023,1/12/2024,Closed Won,Mid Market,5580,1
12/18/2023,3/1/2024,Closed Lost,SMB,3368,2
12/18/2023,6/28/2024,Closed Lost,SMB,5345.802,1
12/18/2023,10/18/2024,Closed Lost,Mid Market,27686.4,1
12/19/2023,1/5/2024,Closed Won,Mid Market,5580,1
12/19/2023,3/8/2024,Closed Lost,SMB,5260,1
12/19/2023,4/19/2024,Closed Lost,Mid Market,19324.8,1
12/20/2023,1/5/2024,Verbal,Mid Market,7800,1
12/20/2023,2/16/2024,Closed Lost,Mid Market,5840,1
12/20/2023,3/8/2024,Closed Lost,SMB,6681.6,1
12/20/2023,4/26/2024,Closed Lost,SMB,5260,1
12/21/2023,1/5/2024,Closed Won,Indirect,56850,1
12/21/2023,1/5/2024,Closed Won,SMB,5580,1
12/21/2023,3/1/2024,Closed Lost,SMB,5260,1
12/21/2023,6/28/2024,Closed Lost,SMB,5260,1
12/21/2023,11/1/2024,Closed Lost,SMB,5260,1
12/21/2023,8/29/2025,Closed Won,Mid Market,79657.92,1
12/27/2023,1/5/2024,Closed Won,Indirect,421576.2,2
12/27/2023,1/5/2024,Closed Won,Mid Market,1950,1
12/27/2023,5/3/2024,Closed Lost,Mid Market,27924,1
12/27/2023,11/22/2024,Closed Lost,Mid Market,36433.92,1
12/28/2023,1/5/2024,Closed Won,Indirect,2217.6,1
1/2/2024,1/26/2024,Closed Lost,SMB,5260,1
1/2/2024,3/15/2024,Closed Lost,SMB,5840,1
1/2/2024,5/10/2024,Closed Lost,Mid Market,29160,1
1/3/2024,1/5/2024,Closed Won,Indirect,685.44,2
1/3/2024,2/9/2024,Closed Lost,SMB,6149.52,1
1/3/2024,3/22/2024,Closed Lost,Mid Market,13881.6,1
1/3/2024,6/28/2024,Closed Lost,SMB,5260,1
1/3/2024,2/28/2025,Closed Lost,Indirect,101250,1
1/4/2024,1/5/2024,Closed Won,Indirect,479.88,1
1/4/2024,3/1/2024,Closed Lost,SMB,5260,1
1/4/2024,4/26/2024,Closed Lost,Mid Market,12220.2,1
1/4/2024,5/31/2024,Closed Lost,SMB,15066.72,2
1/4/2024,10/4/2024,Closed Lost,Mid Market,46008,1
1/5/2024,1/26/2024,Closed Lost,SMB,1256,1
1/5/2024,2/2/2024,Closed Won,SMB,2724.12,1
1/5/2024,2/9/2024,Closed Lost,SMB,2368.8,1
1/5/2024,3/29/2024,Closed Lost,Mid Market,11826,1
1/5/2024,4/5/2024,Closed Won,Mid Market,7680,1
1/5/2024,5/10/2024,Closed Lost,Mid Market,13632,1
1/5/2024,5/17/2024,Closed Won,Indirect,9000,1
1/5/2024,6/21/2024,Closed Won,Mid Market,13676.04,1
1/5/2024,7/19/2024,Closed Lost,SMB,5260,1
1/5/2024,8/30/2024,Closed Lost,Mid Market,10538.28,1
1/8/2024,2/16/2024,Closed Lost,Mid Market,20308.2,1
1/8/2024,2/23/2024,Closed Lost,Mid Market,10512,1
1/8/2024,3/1/2024,Closed Lost,SMB,8538.6,2
1/8/2024,3/15/2024,Closed Won,Mid Market,54734.4,1
1/8/2024,4/19/2024,Closed Won,SMB,8485.56,1
1/8/2024,7/5/2024,Closed Lost,SMB,6175.8,1
1/8/2024,8/16/2024,Closed Won,Mid Market,96545.52,1
1/9/2024,2/23/2024,Closed Lost,Mid Market,9257.4,1
1/9/2024,3/22/2024,Closed Won,SMB,5580,1
1/9/2024,8/30/2024,Closed Won,Mid Market,25864.08,1
1/10/2024,1/12/2024,Closed Won,Indirect,10998.4,3
1/10/2024,2/9/2024,Closed Won,SMB,2921.52,1
1/10/2024,2/16/2024,Closed Lost,Mid Market,5260,1
1/10/2024,4/5/2024,Closed Lost,Mid Market,45936,1
1/10/2024,4/26/2024,Closed Lost,SMB,6797.28,1
1/10/2024,5/10/2024,Closed Won,Mid Market,13662,1
1/10/2024,5/31/2024,Closed Lost,SMB,12800,2
1/10/2024,6/14/2024,Closed Lost,Large Market,315600,1
1/10/2024,12/6/2024,Closed Lost,SMB,5420,1
1/11/2024,1/12/2024,Closed Won,Indirect,173570.8,1
1/11/2024,1/19/2024,Closed Won,Mid Market,26392.392,1
1/11/2024,3/8/2024,Closed Won,SMB,5840,1
1/11/2024,3/15/2024,Closed Won,SMB,4226.88,1
1/11/2024,3/29/2024,Closed Lost,Large Market,767576.52,1
1/11/2024,3/29/2024,Closed Lost,Mid Market,48049.92,1
1/11/2024,4/19/2024,Closed Lost,SMB,5650.2,1
1/11/2024,4/26/2024,Closed Lost,Mid Market,10730.88,1
1/11/2024,4/26/2024,Closed Won,SMB,9855.36,1
1/11/2024,5/3/2024,Closed Won,Mid Market,113263.8,1
1/11/2024,5/24/2024,Closed Lost,Mid Market,6528,1
1/11/2024,5/31/2024,Closed Lost,SMB,5260,1
1/11/2024,6/28/2024,Closed Lost,Large Market,774000,1
1/11/2024,12/6/2024,Closed Lost,SMB,5260,1
1/12/2024,2/9/2024,Closed Lost,Mid Market,19392.24,1
1/12/2024,2/23/2024,Closed Lost,Mid Market,7962.84,1
1/12/2024,4/26/2024,Closed Lost,SMB,5209.2,1
1/12/2024,6/14/2024,Closed Won,Large Market,549749.52,1
1/12/2024,12/13/2024,Closed Lost,Indirect,37554,1
1/12/2024,7/11/2025,Verbal,Large Market,1783515,1
1/15/2024,1/19/2024,Closed Won,Indirect,37423.2,7
1/15/2024,3/8/2024,Closed Lost,Mid Market,16026.96,1
1/15/2024,3/22/2024,Closed Won,SMB,10407.36,1
1/15/2024,3/29/2024,Closed Lost,Mid Market,27924,1
1/15/2024,5/31/2024,Closed Lost,SMB,8488.44,1
1/15/2024,6/21/2024,Closed Lost,Mid Market,15241.248,1
1/16/2024,2/16/2024,Closed Lost,SMB,1300,1
1/16/2024,5/31/2024,Closed Lost,SMB,5582.2,1
1/16/2024,6/28/2024,Closed Lost,Mid Market,24336,1
1/16/2024,11/8/2024,Closed Lost,Indirect,2500,1
1/16/2024,12/13/2024,Closed Lost,Large Market,860760,1
1/17/2024,2/2/2024,Closed Won,Indirect,9450,1
1/17/2024,3/1/2024,Closed Lost,Mid Market,21077.76,1
1/17/2024,3/1/2024,Closed Lost,SMB,5260,1
1/17/2024,3/22/2024,Closed Lost,Mid Market,12340.728,1
1/17/2024,3/29/2024,Closed Lost,Large Market,69120,1
1/17/2024,8/9/2024,Closed Won,SMB,7884,1
1/17/2024,9/6/2024,Closed Lost,Indirect,750,1
1/18/2024,1/19/2024,Closed Won,Indirect,9360,1
1/18/2024,3/15/2024,Closed Lost,SMB,5580,1
1/18/2024,4/5/2024,Closed Lost,SMB,5260,1
1/18/2024,12/13/2024,Closed Lost,Indirect,0,1
1/19/2024,1/26/2024,Closed Won,Indirect,1267.2,1
1/19/2024,3/1/2024,Closed Lost,SMB,6736,2
1/19/2024,3/29/2024,Closed Lost,Mid Market,71354.4,3
1/19/2024,5/31/2024,Closed Lost,SMB,7884,1
1/19/2024,7/12/2024,Closed Lost,Indirect,7080,1
1/19/2024,12/13/2024,Closed Lost,Indirect,4950,1
1/22/2024,1/26/2024,Verbal,Large Market,3055.2,1
1/22/2024,2/2/2024,Closed Won,Indirect,1350,1
1/22/2024,2/16/2024,Closed Lost,SMB,5387.4,1
1/22/2024,2/23/2024,Closed Won,SMB,5840,1
1/22/2024,3/1/2024,Closed Lost,Mid Market,12804,1
1/22/2024,3/1/2024,Closed Lost,SMB,5840,1
1/22/2024,4/19/2024,Closed Lost,Mid Market,104532.48,1
1/22/2024,5/3/2024,Closed Won,Mid Market,30525.6,1
1/22/2024,5/10/2024,Closed Lost,SMB,10520,2
1/22/2024,7/19/2024,Closed Lost,Mid Market,13587.6,1
1/23/2024,1/26/2024,Closed Won,Indirect,5191.76,4
1/23/2024,2/23/2024,Closed Lost,SMB,3874.68,1
1/23/2024,3/8/2024,Closed Lost,Mid Market,18574.92,1
1/23/2024,3/22/2024,Closed Won,SMB,6598.08,1
1/23/2024,3/29/2024,Closed Lost,SMB,1220,1
1/23/2024,4/26/2024,Closed Won,SMB,1856,1
1/23/2024,5/3/2024,Closed Won,SMB,5840,1
1/23/2024,5/17/2024,Closed Lost,Mid Market,6734.4,1
1/23/2024,5/24/2024,Closed Won,Large Market,153031.68,1
1/23/2024,8/9/2024,Closed Won,Mid Market,23792.76,1
1/24/2024,2/2/2024,Closed Lost,SMB,6516,1
1/24/2024,2/16/2024,Closed Lost,SMB,5260,1
1/24/2024,3/15/2024,Closed Won,Indirect,55782,1
1/24/2024,4/19/2024,Closed Lost,Mid Market,8841.6,1
1/24/2024,5/17/2024,Closed Won,Mid Market,8048.16,1
1/24/2024,6/7/2024,Closed Lost,Indirect,9900,1
1/24/2024,9/27/2024,Closed Lost,SMB,6280.92,1
1/24/2024,12/13/2024,Closed Lost,Indirect,2730,1
1/25/2024,2/16/2024,Closed Lost,Mid Market,24742.08,1
1/25/2024,2/23/2024,Closed Lost,SMB,5260,1
1/25/2024,3/29/2024,Closed Won,Mid Market,15415.92,1
1/25/2024,4/5/2024,Closed Lost,SMB,5840,1
1/25/2024,4/5/2024,Closed Won,Indirect,3750,1
1/25/2024,6/7/2024,Closed Lost,Indirect,23970,1
1/25/2024,6/7/2024,Closed Lost,Mid Market,21063.12,1
1/25/2024,12/13/2024,Closed Lost,Indirect,0,1
1/26/2024,2/2/2024,Closed Won,Indirect,1115.52,1
1/26/2024,2/23/2024,Closed Lost,Mid Market,44280,1
1/26/2024,3/8/2024,Closed Lost,SMB,7300,1
1/26/2024,3/29/2024,Closed Lost,SMB,15538.72,2
1/26/2024,4/19/2024,Closed Lost,Mid Market,91054.08,1
1/26/2024,4/26/2024,Closed Lost,Mid Market,12804,1
1/26/2024,4/26/2024,Closed Lost,SMB,5260,1
1/26/2024,4/26/2024,Closed Won,Large Market,221355.84,1
1/26/2024,5/10/2024,Closed Lost,SMB,5260,1
1/26/2024,5/10/2024,Closed Won,Large Market,833876.4,1
1/26/2024,5/24/2024,Closed Won,Large Market,728640,1
1/29/2024,2/2/2024,Closed Won,Indirect,706.68,2
1/29/2024,3/22/2024,Closed Lost,SMB,2558.4,1
1/29/2024,3/29/2024,Closed Lost,Mid Market,12627,1
1/29/2024,5/10/2024,Closed Lost,SMB,10520,2
1/29/2024,5/17/2024,Closed Lost,Mid Market,28860,1
